spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20003200,  3200 Phaethon (1983 TB),3200,Y,Y,14.39,332.362504,,6.25,,0.1066,3.604,,,,,B,F,,0.15,JPL 932,2025-11-21.0,J2000,0.8897,1.271,0.14,22.31,265.1,322.31,163.98,2.4,0.6875,2460762,2025-03-27.4,524,1.43,0.0187,7.28,2.73,4.51,4.70E-10,7.70E-10,6.30E-10,9.40E-08,1.70E-07,1.50E-07,1.20E-06,1.50E-09,6.20E-10,1.60E-06,4.70E-07,APO,0,0.34483,,,,-6.10E-15,3.70E-16,,,,
20003361,  3361 Orpheus (1982 HR),3361,Y,Y,19.56,0.036756634,,0.3,,0.357,3.5327,,1.022,0.503,,,,,,JPL 198,2025-11-21.0,J2000,0.3232,1.21,0.819,2.65,188.44,302.65,320.55,1.6,0.7404,2461053.79,2026-01-13.2,486,1.33,0.0146,5.7,3.46,5.21,3.60E-08,2.90E-09,4.30E-08,2.10E-06,3.30E-05,3.30E-05,2.30E-06,3.80E-09,2.60E-09,3.30E-06,1.70E-06,APO,0,0.22792,,,,1.90E-14,2.30E-15,,,,
20003362,  3362 Khufu (1984 QA),3362,Y,Y,18.52,0.466945388,,0.7,,0.21,,,,,,,,,,24,2025-11-21.0,J2000,0.4685,0.9895,0.526,9.92,152.4,55.09,40.38,1.45,1.001,2460960.17,2025-10-11.6,360,0.984,0.013,5.06,3.52,6.02,5.70E-07,1.20E-08,5.70E-07,1.20E-05,5.80E-05,4.80E-05,2.20E-04,1.70E-08,1.80E-08,2.20E-04,6.30E-06,ATE,1,0.6347,,,,,,,,,
20003671,  3671 Dionysus (1984 KD),3671,Y,Y,16.49,4.594579256,,1.5,,0.16,2.7053,,,,,Cb,,,,212,2025-11-21.0,J2000,0.5438,2.197,1.002,13.53,82.02,204.43,252.1,3.39,0.3026,2461357.07,2026-11-12.5,1.19E+03,3.26,0.015,5.83,1.83,3.43,1.90E-08,1.00E-09,4.20E-08,3.90E-06,1.40E-05,1.50E-05,4.80E-06,1.60E-09,2.20E-10,1.60E-05,8.50E-07,APO,0,0.39244,,,,,,,,,
20003757,  3757 Anagolay (1982 XB),3757,Y,Y,19.01,0.170169602,,0.5,,0.18,9.012,,0.859,0.522,,,S,,,58,2025-11-21.0,J2000,0.4459,1.835,1.017,3.87,74.93,17.24,92.37,2.65,0.3967,2460767.64,2025-04-02.1,908,2.48,0.0366,14.3,2.58,3.9,4.20E-08,2.20E-09,7.70E-08,5.40E-06,6.00E-05,6.30E-05,1.30E-05,3.20E-09,7.20E-10,3.30E-05,1.60E-06,APO,0,0.71517,,,,,,,,,
20004015,  4015 Wilson-Harrington (1979 VA),4015,Y,Y,16.19,87.12683626,,4,,0.05,3.5736,,0.666,0.279,,,CF,,0.5,333,2025-11-21.0,J2000,0.6309,2.626,0.969,2.8,266.72,95.52,274.4,4.28,0.2316,2461370.13,2026-11-25.6,1.55E+03,4.26,0.043,16.7,1.22,3.08,2.40E-08,3.40E-09,6.40E-08,3.90E-06,6.80E-05,6.80E-05,2.40E-06,5.50E-09,4.40E-10,1.10E-05,3.00E-06,APO,0,0.37015,,,,,,,,,
20004034,  4034 Vishnu (1986 PA),4034,Y,Y,18.49,0.100860204,,0.42,,0.52,44.4,,,,,O,,,,192,2025-11-21.0,J2000,0.444,1.059,0.589,11.17,157.86,296.7,261.95,1.53,0.9039,2461108.97,2026-03-09.4,398,1.09,0.0191,7.44,3.69,5.71,2.80E-08,2.20E-09,2.90E-08,2.50E-06,1.60E-05,1.50E-05,7.30E-06,3.20E-09,2.80E-09,8.20E-06,1.20E-06,APO,0,0.39675,,,,-3.70E-14,4.00E-15,,,,
20004179,  4179 Toutatis (1989 AC),4179,Y,Y,15.29,214.3646898,0.1,5.4,1.70x2.03x4.26,0.405,176,,,,,Sk,,,,716,2025-11-21.0,J2000,0.6247,2.543,0.954,0.45,125.37,277.86,76.89,4.13,0.243,2460684.12,2025-01-08.6,1.48E+03,4.06,0.00651,2.54,1.29,3.14,1.30E-09,6.10E-10,3.60E-09,1.80E-07,2.20E-05,2.20E-05,3.60E-07,9.80E-10,8.70E-11,1.40E-06,5.30E-07,APO,0,0.26406,,-3.20E-13,9.30E-14,-7.60E-15,9.80E-16,,,,
20004183,  4183 Cuno (1959 LM),4183,Y,Y,14.16,66.25329303,,3.651,,0.097,3.5595,,,,,Sq,,,0.1,JPL 690,2025-11-21.0,J2000,0.6362,1.981,0.721,6.67,294.35,237.02,317.37,3.24,0.3535,2461121.08,2026-03-21.5,1.02E+03,2.79,0.0284,11,1.8,3.57,8.60E-10,1.60E-10,1.70E-09,7.10E-08,4.80E-07,5.30E-07,4.80E-07,2.50E-10,4.20E-11,1.40E-06,1.20E-07,APO,0,0.4289,,,,,,,,,
20004450,  4450 Pan (1987 SY),4450,Y,Y,17.28,0,,,,,56.48,,,,,,,,,JPL 266,2025-11-21.0,J2000,0.5866,1.442,0.596,5.52,311.67,292,59.71,2.29,0.5691,2460895.57,2025-08-08.0,633,1.73,0.0287,11.2,2.76,4.46,2.00E-08,2.50E-09,2.80E-08,3.10E-06,2.00E-05,1.90E-05,1.00E-05,3.90E-09,1.50E-09,1.80E-05,1.60E-06,APO,0,0.43447,,,,,,,,,
20004486,  4486 Mithra (1987 SB),4486,Y,Y,15.61,8.605630677,,1.849,2.35 x 1.65 x 1.44,0.297,67.5,,,,,,,,0.02,374,2025-11-21.0,J2000,0.66,2.206,0.75,3.03,82.18,169.26,276.29,3.66,0.3007,2461278.84,2026-08-26.3,1.20E+03,3.28,0.0459,17.9,1.39,3.33,1.30E-08,8.00E-10,2.90E-08,1.60E-06,4.30E-05,4.30E-05,2.30E-06,1.30E-09,1.60E-10,7.70E-06,6.50E-07,APO,0,0.34817,,,,,,,,,
20004581,  4581 Asclepius (1989 FC),4581,Y,Y,20.74,0,,,,,8.008,,,,,,,,,112,2025-11-21.0,J2000,0.3569,1.023,0.658,4.92,180.2,255.39,233.38,1.39,0.9532,2461133.34,2026-04-02.8,378,1.03,0.00385,1.5,3.88,5.91,6.00E-08,5.40E-09,5.80E-08,2.50E-06,2.00E-05,2.00E-05,2.60E-05,7.30E-09,7.50E-09,2.80E-05,3.00E-06,APO,0,0.47405,,,,-3.60E-14,6.00E-15,,,,
20004660,  4660 Nereus (1982 DB),4660,Y,Y,18.75,0.04892308,,0.33,,0.55,15.1749,,,,,Xe,,,0.05,277,2025-11-21.0,J2000,0.3588,1.485,0.952,1.45,313.11,159.54,49.82,2.02,0.5446,2460909.03,2025-08-21.5,661,1.81,0.00416,1.62,3.11,4.5,5.70E-10,3.60E-09,3.10E-09,1.70E-07,9.10E-06,9.90E-06,2.10E-06,4.90E-09,2.00E-09,3.60E-06,2.40E-06,APO,0,0.20923,,,,1.40E-14,6.60E-15,,,,
20004769,  4769 Castalia (1989 PB),4769,Y,Y,17.4,3.735563105,,1.4,,0.092,4.095,,,,,,,,,165,2025-11-21.0,J2000,0.4832,1.063,0.549,8.89,325.5,121.45,323.77,1.58,0.8992,2461040.79,2025-12-31.2,400,1.1,0.0203,7.89,3.67,5.68,3.90E-08,1.20E-09,4.20E-08,5.30E-06,1.00E-05,1.10E-05,4.90E-06,1.80E-09,1.50E-09,5.50E-06,6.70E-07,APO,0,0.36331,,,,-8.60E-15,1.00E-15,,,,
20004953,  4953 (1990 MU),4953,Y,Y,14.88,0,,,,,14.218,,,,,,,,,JPL 480,2025-11-21.0,J2000,0.6575,1.621,0.555,24.38,77.53,77.93,115.98,2.69,0.4774,2460757.55,2025-03-23.0,754,2.06,0.0245,9.52,2.74,3.98,1.60E-09,4.10E-10,2.60E-09,7.90E-08,2.30E-07,2.90E-07,5.80E-07,6.80E-10,1.80E-10,1.10E-06,2.90E-07,APO,0,0.34069,,,,,,,,,
20005011,  5011 Ptah (6743 P-L),5011,Y,Y,16.66,0,,,,,56.3,,,,,,,,,JPL 173,2025-11-21.0,J2000,0.5002,1.636,0.818,7.41,10.62,105.96,2.07,2.45,0.471,2460996.11,2025-11-16.6,764,2.09,0.0241,9.38,2.7,4.14,4.00E-08,2.30E-09,6.60E-08,3.80E-06,2.90E-05,2.90E-05,6.60E-06,3.40E-09,9.80E-10,1.40E-05,1.60E-06,APO,0,0.5149,,,,,,,,,
20005189,  5189 (1990 UQ),5189,Y,Y,17.84,0,,,,,6.653,,,,,,,,,311,2025-11-21.0,J2000,0.4782,1.552,0.81,3.58,135.05,159.96,101.62,2.29,0.5099,2460801.2,2025-05-05.7,706,1.93,0.0448,17.5,2.92,4.31,9.80E-09,2.30E-09,1.50E-08,5.10E-07,2.10E-05,2.20E-05,1.80E-06,3.40E-09,1.10E-09,3.10E-06,1.60E-06,APO,0,0.37108,,,,,,,,,
20005604,  5604 (1992 FE),5604,Y,Y,17.38,0.22649574,,0.55,,0.48,5.3375,,,,,V,,,,235,2025-11-21.0,J2000,0.4065,0.93,0.552,4.7,311.94,82.77,349.65,1.31,1.099,2461009.92,2025-11-30.4,328,0.897,0.0336,13.1,4.13,6.37,1.40E-08,1.10E-08,1.10E-08,2.40E-06,1.40E-05,1.30E-05,4.90E-06,1.50E-08,1.90E-08,4.40E-06,5.60E-06,ATE,0,0.37539,,,,-7.60E-15,7.90E-15,,,,
20005693,  5693 (1993 EA),5693,Y,Y,16.78,0,,,,,2.496,,,,,,,,,445,2025-11-21.0,J2000,0.5851,1.271,0.527,5.06,96.98,258.98,118.41,2.01,0.6882,2460828.43,2025-06-01.9,523,1.43,0.00586,2.28,3.43,4.89,1.30E-09,4.40E-10,1.70E-09,8.30E-08,7.00E-07,6.60E-07,9.10E-07,6.90E-10,3.50E-10,1.20E-06,2.70E-07,APO,0,0.47701,,,,,,,,,
20006037,  6037 (1988 EG),6037,Y,Y,18.86,0,,,,,2.7602,,,,,,,,,166,2025-11-21.0,J2000,0.4996,1.272,0.636,3.51,182.15,242.36,164.67,1.91,0.6874,2460760.93,2025-03-26.4,524,1.43,0.0239,9.31,3.44,4.95,9.10E-09,4.90E-10,1.20E-08,1.80E-06,2.00E-05,2.00E-05,1.90E-06,7.40E-10,4.00E-10,2.70E-06,3.00E-07,APO,0,0.32571,,,,,,,,,
20006239,  6239 Minos (1989 QF),6239,Y,Y,18.59,0,,,,,3.5558,,,,,,,,,JPL 306,2025-11-21.0,J2000,0.4125,1.151,0.676,3.94,344.48,239.78,183.78,1.63,0.7982,2461221.28,2026-06-29.7,451,1.23,0.0261,10.2,3.36,5.38,2.40E-09,5.70E-10,2.90E-09,9.00E-08,2.00E-06,1.70E-06,1.80E-06,8.10E-10,5.90E-10,2.40E-06,3.40E-07,APO,0,0.43866,,,,1.20E-14,1.10E-15,,,,
