"spkid","full_name"
20008507,"  8507 (1991 CB1)"
20008566,"  8566 (1996 EN)"
20008567,"  8567 (1996 HW1)"
20008709,"  8709 Kadlu (1994 JF1)"
20009058,"  9058 (1992 JB)"
20009162,"  9162 Kwiila (1987 OA)"
20009172,"  9172 Abhramu (1989 OB)"
20009202,"  9202 (1993 PB)"
20009400,"  9400 (1994 TW1)"
20009856,"  9856 (1991 EE)"
20009950,"  9950 ESA (1990 VB)"
20010115," 10115 (1992 SK)"
20010145," 10145 (1994 CK1)"
20010150," 10150 (1994 PN)"
20010165," 10165 (1995 BL2)"
20010302," 10302 (1989 ML)"
20010563," 10563 Izhdubar (1993 WD)"
20010636," 10636 (1998 QK56)"
20010860," 10860 (1995 LE)"
20011054," 11054 (1991 FA)"
20011066," 11066 Sigurd (1992 CC1)"
20011284," 11284 Belenus (1990 BA)"
20011311," 11311 Peleus (1993 XN2)"
20011398," 11398 (1998 YP11)"
20011405," 11405 (1999 CV3)"
20011500," 11500 Tomaiyowit (1989 UR)"
20011885," 11885 Summanus (1990 SS)"
20012538," 12538 (1998 OH)"
20012711," 12711 Tukmit (1991 BB)"
20012923," 12923 Zephyr (1999 GK4)"
20013553," 13553 Masaakikoyama (1992 JE)"
20013651," 13651 (1997 BR)"
20014402," 14402 (1991 DB)"
20014827," 14827 Hypnos (1986 JK)"
20015745," 15745 Yuliya (1991 PM5)"
20015817," 15817 Lucianotesi (1994 QC)"
20016064," 16064 Davidharvey (1999 RH27)"
20016636," 16636 (1993 QP)"
20016657," 16657 (1993 UB)"
20016816," 16816 (1997 UF9)"
20016834," 16834 (1997 WU22)"
20016912," 16912 Rhiannon (1998 EP8)"
20016960," 16960 (1998 QS52)"
20017181," 17181 (1999 UM3)"
20017182," 17182 (1999 VU)"
20017188," 17188 (1999 WC2)"
20017274," 17274 (2000 LC16)"
20017511," 17511 (1992 QN)"
20018106," 18106 Blume (2000 NX3)"
20018109," 18109 (2000 NG11)"
20018172," 18172 (2000 QL7)"
20018736," 18736 (1998 NU)"
20018882," 18882 (1999 YN4)"
20019356," 19356 (1997 GH3)"
20019764," 19764 (2000 NF5)"
20020086," 20086 (1994 LW)"
20020236," 20236 (1998 BZ7)"
20020255," 20255 (1998 FX2)"
20020425," 20425 (1998 VD35)"
20020429," 20429 (1998 YN1)"
20020460," 20460 Robwhiteley (1999 LO28)"
20020790," 20790 (2000 SE45)"
20020826," 20826 (2000 UV13)"
20021088," 21088 Chelyabinsk (1992 BL2)"
20021277," 21277 (1996 TO5)"
20021374," 21374 (1997 WS22)"
20022099," 22099 (2000 EX106)"
20022753," 22753 (1998 WT)"
20022771," 22771 (1999 CU3)"
20023183," 23183 (2000 OY21)"
20023187," 23187 (2000 PN9)"
20023548," 23548 (1994 EF2)"
20023606," 23606 (1996 AS1)"
20023714," 23714 (1998 EC3)"
20024443," 24443 (2000 OG)"
20024445," 24445 (2000 PM8)"
20024475," 24475 (2000 VN2)"
20024761," 24761 Ahau (1993 BW2)"
20025143," 25143 Itokawa (1998 SF36)"
20025330," 25330 (1999 KV4)"
20025916," 25916 (2001 CP44)"
20026166," 26166 (1995 QN3)"
20026310," 26310 (1998 TX6)"
20026379," 26379 (1999 HZ1)"
20026663," 26663 (2000 XK47)"
20026760," 26760 (2001 KP41)"
20026817," 26817 (1987 QB)"
20027002," 27002 (1998 DV9)"
20027031," 27031 (1998 RO4)"
20027346," 27346 (2000 DN8)"
20029075," 29075 (1950 DA)"
20030825," 30825 (1990 TG1)"
20030997," 30997 (1995 UO5)"
20031210," 31210 (1998 BX7)"
20031221," 31221 (1998 BP26)"
20031345," 31345 (1998 PG)"
20031346," 31346 (1998 PB1)"
20031662," 31662 (1999 HP11)"
20031669," 31669 (1999 JT6)"
20032906," 32906 (1994 RH)"
20033342," 33342 (1998 WT24)"
20034613," 34613 (2000 UR13)"
20035107," 35107 (1991 VH)"
20035396," 35396 (1997 XF11)"
20035432," 35432 (1998 BG9)"
20035670," 35670 (1998 SU27)"
20036017," 36017 (1999 ND43)"
20036183," 36183 (1999 TX16)"
20036236," 36236 (1999 VV)"
20036284," 36284 (2000 DM8)"
20037336," 37336 (2001 RM)"
20037638," 37638 (1993 VB)"
20037655," 37655 Illapa (1994 PM)"
20038071," 38071 (1999 GU3)"
20038086," 38086 Beowulf (1999 JB)"
20038091," 38091 (1999 JT3)"
20038239," 38239 (1999 OR3)"
20039557," 39557 Gielgud (1992 JG)"
20039565," 39565 (1992 SL)"
20039572," 39572 (1993 DQ1)"
20039796," 39796 (1997 TD)"
20040263," 40263 (1999 FQ5)"
20040267," 40267 (1999 GJ4)"
20040329," 40329 (1999 ML)"
20041429," 41429 (2000 GE2)"
20041440," 41440 (2000 HZ23)"
20042286," 42286 (2001 TN41)"
20048603," 48603 (1995 BC2)"
20052340," 52340 (1992 SY)"
20052381," 52381 (1993 HA)"
20052387," 52387 Huitzilopochtli (1993 OM7)"
20052689," 52689 (1998 FF2)"
20052750," 52750 (1998 KK17)"
20052760," 52760 (1998 ML14)"
20052761," 52761 (1998 MN14)"
20052762," 52762 (1998 MT24)"
20052768," 52768 (1998 OR2)"
20053110," 53110 (1999 AR7)"
20053319," 53319 (1999 JM8)"
20053409," 53409 (1999 LU7)"
20053426," 53426 (1999 SL5)"
20053429," 53429 (1999 TF5)"
